index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo
0,1145661023,2,114563,Absent,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,28.0,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,60,6.0,11,,39,,0.546875,RS,,0.14705882352941177,,,OUT
0,1145661023,3,114563,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,6.0,26,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,66,9.0,28,0.14705882352941177,62,0.3368121442125237,0.5625,OUT,28.0,0.37254901960784315,4.0,,RS
0,1145661023,4,114563,Absent,42,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,9.0,23,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,75,22.0,42,0.37254901960784315,55,0.17583807716635036,0.5,RS,6.0,0.2857142857142857,26.0,0.3368121442125237,RS
0,1145661023,5,114563,Absent,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,22.0,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,97,9.0,21,0.2857142857142857,41,0.11854103343465044,0.484375,RS,9.0,0.3,23.0,0.17583807716635036,RS
0,1145661023,6,114563,Absent,31,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,9.0,23,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,106,9.0,31,0.3,56,0.044827586206896586,0.515625,RS,22.0,0.23529411764705882,10.0,0.11854103343465044,RS
0,1145661023,7,114563,Absent,32,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,9.0,23,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,115,3.0,32,0.23529411764705882,57,0.33847637415621984,0.53125,RS,9.0,0.28,23.0,0.044827586206896586,BOTTOM
0,1145661023,11,114563,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14.0,18,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,164,12.0,32,1.0,50,0.47619047619047616,0.5,BOTTOM,3.0,0.20454545454545456,29.0,0.4342857142857143,RS
0,1145661023,18,114563,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16.0,16,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,201,30.0,32,0.1276595744680851,48,0.3485309017223911,0.5,LEFT,12.0,0.16666666666666666,20.0,0.35997067448680353,RS
0,1145661023,19,114563,Absent,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.0,2,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,231,29.0,10,0.16666666666666666,15,0.015151515151515166,0.203125,RS,16.0,0.1875,16.0,0.3485309017223911,RS
0,1145661023,22,114563,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,19,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,193,12.0,32,0.3620689655172414,59,0.29823917828319885,0.625,TOP,29.0,0.0,3.0,0.1875,BOTTOM
