index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
0,604223901,1,6042,Absent,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,2,Unicorn_Present,0,6.0,0,Unicorn_Absent,-66,0.3875,,RS,6,,13,,0.171875,6,,,0.0,,,RS,RS,
0,604223901,2,6042,Absent,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-34,1.0,2.0,RS,7,0.0,21,0.045454545454545456,0.328125,7,-66.0,0.3875,0.0625,,RS,RS,RS,6.0
0,604223901,3,6042,Absent,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,31,1,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-3,0.99375,0.0,RS,10,0.0625,14,0.0625,0.203125,10,32.0,1.0,0.0625,0.045454545454545456,RS,RS,RS,7.0
0,604223901,4,6042,Absent,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,27,0.9875,1.0,RS,7,0.0625,22,0.09539473684210525,0.3125,7,31.0,0.99375,0.1111111111111111,0.0625,RS,RS,RS,10.0
0,604223901,5,6042,Absent,13,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,2,Unicorn_Present,4,2.0,0,Unicorn_Present,-39,0.3875,2.0,RS,13,0.1111111111111111,29,0.05555555555555555,0.421875,13,30.0,0.9875,0.05263157894736842,0.09539473684210525,RS,RS,RS,7.0
0,604223901,6,6042,Absent,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-65,1,Unicorn_Present,5,0.0,0,Unicorn_Absent,-104,0.39375,2.0,RS,7,0.05263157894736842,21,0.2165991902834008,0.3125,7,-66.0,0.3875,0.05,0.05555555555555555,RS,RS,RS,13.0
0,604223901,7,6042,Absent,16,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-72,1.0,1.0,RS,14,0.05,20,0.18529411764705883,0.3125,14,-65.0,0.39375,0.16666666666666666,0.2165991902834008,RS,RS,RS,7.0
0,604223901,8,6042,Absent,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-64,0,Unicorn_Present,6,4.0,0,Unicorn_Absent,-136,0.4,0.0,RS,7,0.16666666666666666,12,0.06666666666666665,0.1875,7,32.0,1.0,0.1875,0.18529411764705883,RS,RS,RS,14.0
0,604223901,9,6042,Absent,12,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31,1,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-105,0.99375,0.0,RS,12,0.1875,17,0.0875,0.25,12,-64.0,0.4,0.09090909090909091,0.06666666666666665,RS,RS,RS,7.0
0,604223901,10,6042,Absent,13,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-76,0.98125,1.0,RS,12,0.09090909090909091,19,0.09090909090909091,0.25,12,31.0,0.99375,0.058823529411764705,0.0875,RS,RS,RS,12.0
0,604223901,11,6042,Absent,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-45,0.99375,3.0,RS,6,0.058823529411764705,11,0.00784313725490196,0.15625,6,29.0,0.98125,0.0,0.09090909090909091,RS,RS,RS,12.0
0,604223901,12,6042,Present,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Present,6,4.0,0,Unicorn_Absent,-14,0.99375,1.0,RS,6,0.0,16,0.0,0.234375,6,31.0,0.99375,0.125,0.00784313725490196,RS,RS,RS,6.0
0,604223901,13,6042,Absent,25,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,27,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,13,0.96875,1.0,RS,21,0.125,27,0.024999999999999994,0.34375,21,31.0,0.99375,0.03571428571428571,0.0,RS,RS,RS,6.0
0,604223901,14,6042,Absent,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,44,0.99375,5.0,RS,8,0.03571428571428571,12,0.030952380952380953,0.171875,8,27.0,0.96875,0.07142857142857142,0.024999999999999994,RS,RS,RS,21.0
0,604223901,15,6042,Absent,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-66,2,Unicorn_Present,1,4.0,0,Unicorn_Absent,-22,0.3875,1.0,RS,7,0.07142857142857142,17,0.008928571428571425,0.234375,7,31.0,0.99375,0.058823529411764705,0.030952380952380953,RS,RS,RS,8.0
0,604223901,16,6042,Absent,16,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,8,0.9875,2.0,RS,11,0.058823529411764705,17,0.006191950464396287,0.234375,11,-66.0,0.3875,0.10526315789473684,0.008928571428571425,RS,RS,RS,7.0
0,604223901,17,6042,Absent,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,40,1.0,2.0,RS,10,0.10526315789473684,17,0.04858299595141702,0.265625,10,30.0,0.9875,0.045454545454545456,0.006191950464396287,RS,RS,RS,11.0
0,604223901,18,6042,Absent,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,5,Unicorn_Present,7,4.0,0,Unicorn_Absent,-29,0.36875,0.0,RS,13,0.045454545454545456,21,0.007177033492822962,0.25,13,32.0,1.0,0.125,0.04858299595141702,RS,RS,RS,10.0
