"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.127384872400185","0.0762594529462973","0.0578437853606466","0.00519873485833851","0","0","0","0","0","0",1612.32648609285
"WSLS","0.100617751721131","0.0502582813827111","0.017893080295058","0.00231203870951369","37.4615117209589","29.9987264103872","4.65882295122334","0","0","0",653.956110185804
"FRA","0.0598251992798131","0.045983462554823","0.00306034291308782","0.000200466710955721","40.620869651804","29.9995605181976","15.1539710784991","0.507717064157892","29.9737470971703","0.953430201314649",557.151891842822
