index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,indice,Cambio,ScoreLEAD,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
3426,546-111,7,546-111PL2,Absent,16600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,30,29,28,27,26,18,19,20,21,22,23,24,25,16,17,15,14,13,12,11,10,1,3,4,5,6,7,8,9,30.0,2,Unicorn_Absent,-1,-1,Unicorn_Absent,191,0.9875,0.0,3426,0,31.0,BOTTOM,31,0.8378378378378378,64,0.05105105105105101,0.96875,1,26.0,0.9625,0.96875,0.415625,BOTTOM,BOTTOM,BOTTOM,5.0
3430,546-111,11,546-111PL2,Absent,15423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,30,29,28,27,26,25,1,4,7,10,13,16,19,22,2,5,8,11,14,17,20,23,3,6,9,12,15,18,21,24,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,317,0.99375,0.0,3430,0,31.0,BOTTOM,32,1.0,64,0.0,0.984375,0,31.0,0.99375,1.0,0.025892857142857162,BOTTOM,BOTTOM,BOTTOM,0.0
3434,546-111,15,546-111PL2,Absent,15247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,31,29,30,28,27,26,1,4,7,10,16,17,21,25,2,5,8,11,14,18,20,24,3,6,9,12,13,19,22,23,30.0,2,Unicorn_Absent,-1,-1,Unicorn_Absent,442,0.9875,0.0,3434,0,32.0,BOTTOM,32,1.0,64,0.02941176470588236,0.96875,0,31.0,0.99375,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3435,546-111,16,546-111PL2,Absent,17413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,13,17,25,26,33,2,6,10,14,19,24,27,32,3,7,11,15,20,23,28,31,4,8,12,16,21,22,29,30,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,474,1.0,2.0,3435,0,32.0,BOTTOM,32,1.0,64,0.05882352941176472,1.0,0,30.0,0.9875,1.0,0.02941176470588236,BOTTOM,BOTTOM,BOTTOM,0.0
3439,546-111,20,546-111PL2,Absent,14890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,16,18,25,26,33,2,7,10,15,19,24,27,32,3,6,11,14,20,23,29,28,4,5,12,13,21,22,30,31,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,602,1.0,0.0,3439,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3440,546-111,21,546-111PL2,Absent,13911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,16,17,24,25,32,2,7,10,15,18,23,26,31,3,6,11,14,19,22,27,30,4,5,12,13,20,21,28,29,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,634,1.0,0.0,3440,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3441,546-111,22,546-111PL2,Absent,14407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,18,20,17,15,16,14,2,21,22,23,26,24,25,13,3,31,30,28,27,32,33,12,4,5,6,29,8,9,10,11,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,666,1.0,0.0,3441,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3452,546-111,33,546-111PL2,Absent,13512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,8,9,10,1,2,32,30,31,29,28,11,21,22,23,24,25,26,27,12,20,19,18,17,16,15,14,13,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1018,1.0,0.0,3452,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3464,546-111,45,546-111PL2,Absent,14172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,16,17,25,26,33,2,7,10,15,18,23,27,32,3,6,11,14,19,22,28,30,4,5,12,13,20,21,29,31,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1401,1.0,0.0,3464,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3465,546-111,46,546-111PL2,Absent,13923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,22,21,20,29,30,35,1,2,23,24,19,28,31,34,5,6,26,25,17,27,32,33,7,8,9,15,16,12,13,14,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1433,1.0,0.0,3465,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3468,546-111,49,546-111PL2,Absent,15797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,17,18,26,27,34,2,7,11,16,22,23,29,33,3,6,12,15,19,25,28,32,4,5,13,14,21,24,30,31,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1529,1.0,0.0,3468,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3469,546-111,50,546-111PL2,Absent,14625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,16,17,23,24,32,2,7,10,15,18,22,25,31,3,6,11,14,20,21,26,30,4,5,12,13,19,28,27,29,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1561,1.0,0.0,3469,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3470,546-111,51,546-111PL2,Absent,12825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,17,18,26,27,34,2,7,10,16,19,24,28,33,5,6,9,15,20,23,29,32,4,13,12,14,21,22,30,31,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1593,1.0,0.0,3470,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3476,546-111,57,546-111PL2,Absent,13310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,16,17,25,26,27,1,7,10,15,18,24,32,29,3,6,11,14,21,22,30,31,4,5,12,13,20,23,33,34,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1784,1.0,0.0,3476,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3477,546-111,58,546-111PL2,Absent,14376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,9,1,16,15,14,13,12,11,10,17,31,30,33,28,27,25,35,18,32,19,34,20,21,22,24,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1816,1.0,0.0,3477,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,BOTTOM,0.0
3478,546-111,59,546-111PL2,Absent,13356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,6,7,8,9,10,1,33,32,30,31,27,26,11,22,34,23,29,28,24,25,12,21,35,19,18,17,15,14,13,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1848,1.0,0.0,3478,0,32.0,BOTTOM,32,1.0,64,0.0,1.0,0,32.0,1.0,1.0,0.0,BOTTOM,BOTTOM,,0.0
3488,588-564,9,588-564PL1,Absent,18328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,26,25,17,18,19,20,21,22,23,24,16,15,14,13,12,11,10,9,1,2,3,4,5,6,7,8,25.0,7,Unicorn_Absent,-1,-1,Unicorn_Absent,239,0.95625,0.0,3488,0,31.0,BOTTOM,28,0.84375,64,0.171875,0.890625,4,1.0,0.80625,1.0,,RS,BOTTOM,BOTTOM,7.0
3492,588-564,13,588-564PL1,Absent,14639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,27,0,0,0,0,0,3,4,24,23,22,21,20,19,2,5,10,8,12,14,16,18,1,6,7,9,11,13,15,17,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,365,0.99375,0.0,3492,0,30.0,BOTTOM,27,0.7741935483870968,59,0.11769834350479513,0.90625,5,31.0,0.99375,0.75,0.13953488372093026,BOTTOM,BOTTOM,BOTTOM,4.0
3495,588-564,16,588-564PL1,Absent,15613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,30,29,28,27,26,25,17,18,19,20,21,22,23,24,16,15,14,13,12,11,10,9,2,3,4,5,6,7,8,1,30.0,2,Unicorn_Absent,-1,-1,Unicorn_Absent,457,0.9875,0.0,3495,0,31.0,BOTTOM,32,0.90625,64,0.01266891891891897,0.96875,0,30.0,0.9875,0.875,0.14189189189189189,BOTTOM,BOTTOM,BOTTOM,3.0
3515,588-564,36,588-564PL1,Absent,15036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,27,26,2,3,9,10,15,16,21,25,1,4,8,11,14,17,20,22,5,6,7,12,13,18,19,24,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1087,1.0,0.0,3515,0,32.0,BOTTOM,28,1.0,64,0.027027027027026973,1.0,4,31.0,0.99375,1.0,0.028846153846153855,BOTTOM,BOTTOM,BOTTOM,4.0
3516,588-564,37,588-564PL1,Absent,13627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,12,3,4,6,7,8,29,28,13,2,21,22,23,25,26,27,14,1,20,19,24,18,17,16,15,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1119,1.0,0.0,3516,0,32.0,BOTTOM,28,1.0,55,0.25,0.859375,4,32.0,1.0,1.0,0.027027027027026973,BOTTOM,BOTTOM,BOTTOM,4.0
3517,588-564,38,588-564PL1,Absent,14903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,29,28,1,7,8,14,15,20,27,26,2,5,11,13,16,19,22,25,3,4,10,12,17,18,23,24,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1151,1.0,0.0,3517,0,32.0,BOTTOM,28,1.0,64,0.25,1.0,4,32.0,1.0,1.0,0.25,BOTTOM,BOTTOM,BOTTOM,4.0
