"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.139520941694837","0.121323318408844","0.069323452969043","0.0051998547072918","0","0","0","0","0","0",1867.59819355261
"WSLS","0.249723997111692","0.249999346857349","0.119380956107625","0.0113763442306592","150.837798689465","999.000000026661","3.00216962854137","0","0","0",809.446932073945
"FRA","0.249999999999967","0.249998648186986","0.124996418186323","0","500","999.999708702165","2.00274321401321","8.36120876661461","999.000000024233","0.671601642767277",763.1266637248
