index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
3148,505-833,29,505-833PL1,Absent,36232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,73,42,72,48,15,50,51,52,70,69,1,16,49,30,54,53,44,71,68,47,31,3,55,14,9,41,10,2,32,17,29,56,67,39,65,13,59,18,19,57,38,11,64,12,58,28,20,26,37,35,63,62,60,24,27,21,66,36,7,34,61,6,22,23,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,812,0.99375,0.0,ALL,3148,0,31.0,64,0.421875,64,0.421875,0.984375,1.0,,1.0,1.0,0.421875,RS,ALL,ALL,0.475
3149,505-833,30,505-833PL1,Absent,33094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,24,71,27,26,76,23,59,70,69,9,74,75,13,58,22,30,68,72,73,14,1,12,57,67,66,28,8,63,61,20,60,3,31,65,64,5,62,19,56,38,37,36,35,48,49,55,16,39,40,32,46,47,18,53,54,33,41,44,43,45,4,17,52,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,843,0.99375,1.0,ALL,3149,0,31.0,64,1.0,64,1.0,0.984375,1.0,31.0,0.99375,1.0,0.421875,ALL,ALL,RS,1.0
3155,505-833,36,505-833PL1,Absent,8642,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,14,0,0,7,0,0,0,0,0,13,8,0,3,0,0,0,2,12,0,0,9,0,0,10,11,0,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1032,1.0,0.0,RS,3155,0,31.0,15,0.0625,16,0.0625,0.25,0.2702702702702703,,1.0,0.23809523809523808,0.0,RS,RS,RS,0.0625
3161,505-833,42,505-833PL1,Absent,16968,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,9,0,0,11,0,0,0,0,1,0,0,0,0,29.0,3,Unicorn_Absent,-1,-1,Unicorn_Absent,1210,0.98125,2.0,RS,3161,0,28.0,10,0.12,32,0.022857142857142854,0.453125,0.21052631578947367,,0.9875,0.0,0.16114982578397213,RS,RS,RS,0.2857142857142857
3164,505-833,45,505-833PL1,Absent,17496,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,8,0,23,0,0,0,0,0,24,0,22,7,14,3,0,13,25,10,0,0,0,0,0,0,0,21,6,0,15,12,0,0,0,20,0,1,16,0,0,2,0,0,19,0,0,0,17,0,4,0,0,0,18,0,9,0,0,11,0,0,5,0,0,0,26.0,6,Unicorn_Absent,-1,-1,Unicorn_Absent,1296,0.9625,0.0,RS,3164,0,-64.0,25,0.07142857142857142,37,0.08857142857142858,0.484375,0.390625,,1.0,0.03571428571428571,0.14814814814814814,RS,RS,RS,0.08823529411764706
3165,505-833,46,505-833PL1,Present,10449,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-64.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,1232,0.4,6.0,RS,3165,0,14.0,4,0.03571428571428571,16,0.26863354037267084,0.25,0.09090909090909091,26.0,0.9625,0.02564102564102564,0.08857142857142858,RS,RS,NOTHING,0.390625
3182,505-833,3,505-833PL2,Present,6397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,-96,0.4,0.0,RS,3182,0,-65.0,1,0.0,8,0.07142857142857142,0.125,0.03125,,1.0,0.0,0.2903225806451613,RS,RS,RS,0.03125
3191,505-833,12,505-833PL2,Absent,5128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,-6,0.99375,1.0,RS,3191,0,31.0,1,0.0,64,0.953125,0.984375,0.03125,,0.99375,0.0,0.953125,RS,RS,RS,0.03125
3199,505-833,20,505-833PL2,Absent,3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,-332,0.99375,0.0,RS,3199,0,31.0,1,0.0,64,0.40625,0.984375,0.03571428571428571,,0.4,0.0,0.2641509433962264,RS,RS,RS,0.03125
3200,505-833,21,505-833PL2,Absent,4210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,-301,0.99375,1.0,RS,3200,0,31.0,1,0.0,64,1.0,0.984375,0.03125,31.0,0.99375,0.0,0.40625,RS,RS,RS,0.03571428571428571
