"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0","0","0","0","0","0","0","0","0","0",0
"WSLS","4.23455961408303e-06","5.40314554764443e-08","5.07905349791948e-07","0.000259567047688647","499.270481325865","999.90429818429","30.3010034399094","0","0","0",0.922923172256066
"FRA","0.00255679148786481","0.000107802970208515","6.14313916250109e-07","3.81798196090744e-05","498.33827820589","999.362098185394","7.56649686724696","7.7715611723761e-13","999.999752854456","0.999046851193535",0.922923172256066
